OCC_TITLE,OCC_GROUP,TOT_EMP,A_MEAN,A_MEDIAN
"Medical, Dental, and Ophthalmic Laboratory Technicians",broad,"78,870","36,120","33,290"
Dental Laboratory Technicians,detailed,"36,790","39,780","36,440"
Medical Appliance Technicians,detailed,"13,320","38,220","35,540"
Ophthalmic Laboratory Technicians,detailed,"28,760","30,450","29,030"
Packaging and Filling Machine Operators and Tenders,broad,"372,210","28,740","26,310"
Packaging and Filling Machine Operators and Tenders,detailed,"372,210","28,740","26,310"
Painting Workers,broad,"149,780","35,680","33,150"
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",detailed,"87,070","32,290","30,940"
"Painters, Transportation Equipment",detailed,"46,770","43,930","39,610"
"Painting, Coating, and Decorating Workers",detailed,"15,930","29,960","28,370"
Semiconductor Processors,broad,"22,750","36,070","33,950"
Semiconductor Processors,detailed,"22,750","36,070","33,950"
Photographic Process Workers and Processing Machine Operators,broad,"37,130","27,410","23,840"
Photographic Process Workers and Processing Machine Operators,detailed,"37,130","27,410","23,840"
Miscellaneous Production Workers,broad,"829,640","28,650","25,780"
Adhesive Bonding Machine Operators and Tenders,detailed,"18,280","32,540","30,530"
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",detailed,"16,460","28,210","26,480"
Cooling and Freezing Equipment Operators and Tenders,detailed,"7,660","29,620","27,680"
Etchers and Engravers,detailed,"8,570","30,060","28,510"
"Molders, Shapers, and Casters, Except Metal and Plastic",detailed,"32,920","31,480","29,790"
"Paper Goods Machine Setters, Operators, and Tenders",detailed,"94,910","35,830","34,790"
Tire Builders,detailed,"17,570","39,240","39,710"
Helpers--Production Workers,detailed,"426,670","25,070","23,160"
"Production Workers, All Other",detailed,"206,600","30,980","27,590"
Transportation and Material Moving Occupations,major,"9,005,120","33,860","29,100"
Supervisors of Transportation and Material Moving Workers,minor,"371,250","52,180","49,310"
Aircraft Cargo Handling Supervisors,broad,"6,270","48,970","44,840"
Aircraft Cargo Handling Supervisors,detailed,"6,270","48,970","44,840"
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",broad,"167,190","47,880","45,750"
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",detailed,"167,190","47,880","45,750"
First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,broad,"197,800","55,910","53,420"
First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,detailed,"197,800","55,910","53,420"
Air Transportation Workers,minor,"234,220","84,100","68,200"
Aircraft Pilots and Flight Engineers,broad,"110,370","113,090","101,350"
"Airline Pilots, Copilots, and Flight Engineers",detailed,"73,030","129,600","115,190"
Commercial Pilots,detailed,"37,340","80,800","74,470"
Air Traffic Controllers and Airfield Operations Specialists,broad,"30,310","102,750","101,880"
Air Traffic Controllers,detailed,"23,060","118,650","121,280"
Airfield Operations Specialists,detailed,"7,250","52,190","49,320"
Flight Attendants,broad,"93,550","43,860","40,520"
Flight Attendants,detailed,"93,550","43,860","40,520"
Motor Vehicle Operators,minor,"3,664,240","35,320","33,010"
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",broad,"18,380","24,920","23,610"
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",detailed,"18,380","24,920","23,610"
Bus Drivers,broad,"653,940","31,640","29,680"
"Bus Drivers, Transit and Intercity",detailed,"157,830","38,750","36,700"
"Bus Drivers, School or Special Client",detailed,"496,110","29,380","28,330"
Driver/Sales Workers and Truck Drivers,broad,"2,758,700","36,970","34,770"
Driver/Sales Workers,detailed,"396,470","27,900","22,720"
Heavy and Tractor-Trailer Truck Drivers,detailed,"1,585,300","40,940","38,700"
Light Truck or Delivery Services Drivers,detailed,"776,930","33,490","29,170"
Taxi Drivers and Chauffeurs,broad,"170,030","25,200","22,840"
Taxi Drivers and Chauffeurs,detailed,"170,030","25,200","22,840"
Miscellaneous Motor Vehicle Operators,broad,"63,200","32,110","27,570"
"Motor Vehicle Operators, All Other",detailed,"63,200","32,110","27,570"
Rail Transportation Workers,minor,"123,420","55,110","53,790"
Locomotive Engineers and Operators,broad,"43,870","53,990","51,720"
Locomotive Engineers,detailed,"36,860","55,660","53,310"
Locomotive Firers,detailed,"1,880","47,900","44,910"
"Rail Yard Engineers, Dinkey Operators, and Hostlers",detailed,"5,140","44,260","42,280"
"Railroad Brake, Signal, and Switch Operators",broad,"23,950","49,920","50,840"
"Railroad Brake, Signal, and Switch Operators",detailed,"23,950","49,920","50,840"
Railroad Conductors and Yardmasters,broad,"43,100","58,030","56,060"
Railroad Conductors and Yardmasters,detailed,"43,100","58,030","56,060"
Subway and Streetcar Operators,broad,"8,930","58,880","63,660"
Subway and Streetcar Operators,detailed,"8,930","58,880","63,660"
Miscellaneous Rail Transportation Workers,broad,"3,570","59,110","58,550"
"Rail Transportation Workers, All Other",detailed,"3,570","59,110","58,550"
Water Transportation Workers,minor,"72,440","59,850","51,140"
Sailors and Marine Oilers,broad,"28,810","40,690","38,960"
Sailors and Marine Oilers,detailed,"28,810","40,690","38,960"
Ship and Boat Captains and Operators,broad,"33,700","71,570","65,850"
"Captains, Mates, and Pilots of Water Vessels",detailed,"30,290","75,580","69,920"
Motorboat Operators,detailed,"3,400","35,880","31,550"
Ship Engineers,broad,"9,930","75,650","69,660"
Ship Engineers,detailed,"9,930","75,650","69,660"
Other Transportation Workers,minor,"338,080","27,360","21,790"
Bridge and Lock Tenders,broad,"3,170","44,040","46,360"
Bridge and Lock Tenders,detailed,"3,170","44,040","46,360"
Parking Lot Attendants,broad,"130,190","21,340","19,500"
Parking Lot Attendants,detailed,"130,190","21,340","19,500"
Automotive and Watercraft Service Attendants,broad,"112,970","21,960","20,470"
Automotive and Watercraft Service Attendants,detailed,"112,970","21,960","20,470"
Traffic Technicians,broad,"6,220","43,920","39,830"
Traffic Technicians,detailed,"6,220","43,920","39,830"
Transportation Inspectors,broad,"23,970","68,280","65,950"
Transportation Inspectors,detailed,"23,970","68,280","65,950"
"Transportation Attendants, Except Flight Attendants",broad,"21,280","26,150","23,450"
"Transportation Attendants, Except Flight Attendants",detailed,"21,280","26,150","23,450"
Miscellaneous Transportation Workers,broad,"40,290","34,400","32,110"
"Transportation Workers, All Other",detailed,"40,290","34,400","32,110"
Material Moving Workers,minor,"4,201,450","27,620","24,370"
Conveyor Operators and Tenders,broad,"40,760","33,180","30,580"
Conveyor Operators and Tenders,detailed,"40,760","33,180","30,580"
Crane and Tower Operators,broad,"41,580","51,620","48,630"
Crane and Tower Operators,detailed,"41,580","51,620","48,630"
"Dredge, Excavating, and Loading Machine Operators",broad,"49,710","43,420","39,660"
Dredge Operators,detailed,"1,750","45,580","39,590"
Excavating and Loading Machine and Dragline Operators,detailed,"44,780","42,970","38,900"
"Loading Machine Operators, Underground Mining",detailed,"3,180","48,600","50,640"
Hoist and Winch Operators,broad,"2,980","48,370","38,730"
Hoist and Winch Operators,detailed,"2,980","48,370","38,730"
Industrial Truck and Tractor Operators,broad,"504,560","32,660","30,730"
Industrial Truck and Tractor Operators,detailed,"504,560","32,660","30,730"
"Laborers and Material Movers, Hand",broad,"3,374,770","25,630","22,940"
Cleaners of Vehicles and Equipment,detailed,"311,940","22,980","20,230"
"Laborers and Freight, Stock, and Material Movers, Hand",detailed,"2,284,650","26,690","23,970"
Machine Feeders and Offbearers,detailed,"106,160","29,510","28,310"
"Packers and Packagers, Hand",detailed,"672,020","22,670","19,970"
Pumping Station Operators,broad,"31,090","47,450","46,300"
Gas Compressor and Gas Pumping Station Operators,detailed,"4,520","53,740","54,420"
"Pump Operators, Except Wellhead Pumpers",detailed,"13,170","45,760","43,270"
Wellhead Pumpers,detailed,"13,410","46,990","45,960"
Refuse and Recyclable Material Collectors,broad,"116,460","35,280","32,720"
Refuse and Recyclable Material Collectors,detailed,"116,460","35,280","32,720"
Mine Shuttle Car Operators,broad,"2,730","52,560","53,020"
Mine Shuttle Car Operators,detailed,"2,730","52,560","53,020"
"Tank Car, Truck, and Ship Loaders",broad,"12,560","45,340","42,280"
"Tank Car, Truck, and Ship Loaders",detailed,"12,560","45,340","42,280"
Miscellaneous Material Moving Workers,broad,"24,250","39,000","34,620"
"Material Moving Workers, All Other",detailed,"24,250","39,000","34,620"
