OCC_TITLE,OCC_GROUP,TOT_EMP,A_MEAN,A_MEDIAN
Miscellaneous Postsecondary Teachers,broad,"455,970","56,490","46,480"
Graduate Teaching Assistants,detailed,"118,820","31,810","29,950"
"Home Economics Teachers, Postsecondary",detailed,"3,870","67,110","62,740"
"Recreation and Fitness Studies Teachers, Postsecondary",detailed,"18,820","63,770","57,690"
"Vocational Education Teachers, Postsecondary",detailed,"121,360","52,680","48,300"
"Postsecondary Teachers, All Other",detailed,"193,110","73,140","60,670"
"Preschool, Primary, Secondary, and Special Education School Teachers",minor,"4,024,430","54,740","52,430"
Preschool and Kindergarten Teachers,broad,"510,540","38,040","33,400"
"Preschool Teachers, Except Special Education",detailed,"352,730","31,420","27,570"
"Kindergarten Teachers, Except Special Education",detailed,"157,800","52,840","50,230"
Elementary and Middle School Teachers,broad,"1,984,360","56,420","53,710"
"Elementary School Teachers, Except Special Education",detailed,"1,344,240","56,320","53,590"
"Middle School Teachers, Except Special and Career/Technical Education",detailed,"621,970","56,630","53,940"
"Career/Technical Education Teachers, Middle School",detailed,"18,150","56,830","54,270"
Secondary School Teachers,broad,"1,031,750","58,170","55,330"
"Secondary School Teachers, Except Special and Career/Technical Education",detailed,"946,730","58,260","55,360"
"Career/Technical Education Teachers, Secondary School",detailed,"85,020","57,200","55,120"
Special Education Teachers,broad,"497,780","58,050","54,900"
"Special Education Teachers, Preschool",detailed,"24,420","55,990","52,070"
"Special Education Teachers, Kindergarten and Elementary School",detailed,"198,350","56,690","53,910"
"Special Education Teachers, Middle School",detailed,"96,770","59,540","56,300"
"Special Education Teachers, Secondary School",detailed,"133,490","60,410","56,920"
"Special Education Teachers, All Other",detailed,"44,750","54,920","49,970"
Other Teachers and Instructors,minor,"1,157,660","37,190","29,990"
Adult Basic and Secondary Education and Literacy Teachers and Instructors,broad,"69,880","53,850","51,110"
Adult Basic and Secondary Education and Literacy Teachers and Instructors,detailed,"69,880","53,850","51,110"
Self-Enrichment Education Teachers,broad,"187,180","40,680","35,500"
Self-Enrichment Education Teachers,detailed,"187,180","40,680","35,500"
Miscellaneous Teachers and Instructors,broad,"900,610","35,170","28,310"
Substitute Teachers,detailed,"630,320","29,350","25,830"
"Teachers and Instructors, All Other, Except Substitute Teachers",detailed,"270,290","48,750","42,970"
"Librarians, Curators, and Archivists",minor,"258,820","47,750","44,980"
"Archivists, Curators, and Museum Technicians",broad,"26,330","50,770","45,970"
Archivists,detailed,"5,560","52,670","49,110"
Curators,detailed,"10,910","55,620","50,550"
Museum Technicians and Conservators,detailed,"9,860","44,330","40,020"
Librarians,broad,"136,510","57,550","55,690"
Librarians,detailed,"136,510","57,550","55,690"
Library Technicians,broad,"95,980","33,000","31,280"
Library Technicians,detailed,"95,980","33,000","31,280"
"Other Education, Training, and Library Occupations",minor,"1,448,450","30,460","25,920"
Audio-Visual and Multimedia Collections Specialists,broad,"8,840","46,840","44,360"
Audio-Visual and Multimedia Collections Specialists,detailed,"8,840","46,840","44,360"
Farm and Home Management Advisors,broad,"9,120","49,010","46,370"
Farm and Home Management Advisors,detailed,"9,120","49,010","46,370"
Instructional Coordinators,broad,"133,840","63,070","60,610"
Instructional Coordinators,detailed,"133,840","63,070","60,610"
Teacher Assistants,broad,"1,190,720","25,570","24,000"
Teacher Assistants,detailed,"1,190,720","25,570","24,000"
"Miscellaneous Education, Training, and Library Workers",broad,"105,930","41,190","36,700"
"Education, Training, and Library Workers, All Other",detailed,"105,930","41,190","36,700"
"Arts, Design, Entertainment, Sports, and Media Occupations",major,"1,758,310","55,580","44,610"
Art and Design Workers,minor,"507,370","51,240","43,090"
Artists and Related Workers,broad,"87,240","75,270","64,840"
Art Directors,detailed,"32,250","96,650","83,000"
Craft Artists,detailed,"4,750","36,600","30,400"
"Fine Artists, Including Painters, Sculptors, and Illustrators",detailed,"11,980","50,900","42,610"
Multimedia Artists and Animators,detailed,"30,790","72,400","64,470"
"Artists and Related Workers, All Other",detailed,"7,470","58,460","53,720"
Designers,broad,"420,130","46,250","39,910"
Commercial and Industrial Designers,detailed,"28,540","64,570","62,370"
Fashion Designers,detailed,"17,370","73,570","63,760"
Floral Designers,detailed,"46,490","26,100","24,220"
Graphic Designers,detailed,"194,360","49,610","44,830"
