Code,Volume,Percent,Openings
33-9011,1.10,7.7,4.50
33-9021,3.30,11.2,11.80
33-9030,130.20,12.0,296.30
33-9031,0.60,7.0,2.10
33-9032,129.60,12.1,294.20
33-9090,26.50,7.9,194.50
33-9091,3.10,4.3,13.90
33-9092,13.30,10.2,102.30
33-9093,3.00,5.9,14.70
33-9099,7.10,8.6,63.60
35-0000,1101.80,9.4,5514.50
35-1000,115.40,12.0,373.50
35-1011,6.00,5.2,24.70
35-1012,109.40,12.9,348.70
35-2000,234.20,7.9,892.00
35-2010,205.30,9.6,631.60
35-2011,-2.50,-0.5,101.90
35-2012,54.00,13.2,134.60
35-2013,-0.10,-0.8,1.40
35-2014,150.10,14.7,352.10
35-2015,0.50,0.3,33.30
35-2019,3.20,12.7,8.30
35-2021,28.90,3.6,260.50
35-3000,665.60,10.1,3480.30
35-3011,65.60,11.9,269.40
35-3020,419.70,12.3,1823.50
35-3021,421.90,14.2,1555.70
35-3022,-2.30,-0.5,267.80
35-3031,131.80,5.6,1268.30
35-3041,48.60,20.1,119.10
35-9000,86.70,6.7,768.80
35-9011,32.10,8.0,208.90
35-9021,31.70,6.2,255.50
35-9031,19.10,5.5,280.40
35-9099,3.70,9.8,24.00
37-0000,691.00,12.5,1825.50
37-1000,58.30,12.8,141.50
37-1011,32.00,12.8,91.60
37-1012,26.30,12.7,49.90
37-2000,478.40,12.5,1220.50
37-2010,465.60,12.3,1189.90
37-2011,280.00,12.1,717.30
37-2012,183.40,12.8,467.70
37-2019,2.20,15.0,4.90
37-2021,12.80,19.7,30.60
37-3000,154.20,12.6,463.60
37-3011,139.20,12.4,422.70
37-3012,3.30,11.2,10.80
37-3013,9.80,18.5,23.20
37-3019,1.90,10.0,6.80
39-0000,1122.90,20.9,2289.40
39-1000,31.70,10.6,88.00
39-1010,3.80,7.6,13.80
39-1011,3.10,8.2,11.00
39-1012,0.60,5.8,2.80
39-1021,28.00,11.1,74.30
39-2000,35.40,15.2,76.60
39-2011,6.10,14.8,24.50
39-2021,29.20,15.3,52.10
39-3000,47.30,8.6,284.40
39-3010,13.80,10.8,35.90
39-3011,11.40,11.4,28.70
39-3012,1.10,7.8,3.70
39-3019,1.20,9.4,3.50
39-3021,-2.10,-26.5,3.10
39-3031,1.90,1.7,59.30
39-3090,33.80,11.1,186.10
39-3091,30.30,11.3,164.20
39-3092,0.40,6.6,3.20
39-3093,2.00,10.4,11.90
39-3099,1.10,9.2,6.80
39-4000,2.50,4.2,16.30
39-4011,-0.80,-15.0,1.10
39-4021,0.50,1.4,7.40
39-4031,2.80,12.1,7.90
39-5000,114.30,14.0,283.90
39-5010,83.30,12.6,240.00
39-5011,5.80,11.1,19.30
39-5012,77.60,12.7,220.60
39-5090,31.00,20.3,43.90
39-5091,0.10,3.1,0.30
39-5092,13.50,15.6,20.70
39-5093,-0.30,-1.5,1.60
39-5094,17.70,39.8,21.30
39-6000,11.10,16.5,27.80
39-6011,5.00,12.1,15.10
39-6012,6.10,23.4,12.70
39-7000,3.60,7.7,26.30
39-7011,3.40,8.3,23.40
39-7012,0.20,3.6,3.00
39-9000,876.80,26.5,1485.90
39-9011,184.10,14.0,570.00
39-9021,580.80,48.8,666.00
39-9030,82.50,13.5,154.70
39-9031,33.50,12.5,65.00
39-9032,49.00,14.2,89.70
39-9041,18.50,20.7,57.30
39-9099,10.80,11.1,37.90
41-0000,1095.50,7.3,5626.90
41-1000,67.70,3.4,470.10
41-1011,70.90,4.4,419.80
41-1012,-3.20,-0.8,50.30
41-2000,583.30,6.9,3725.40
41-2010,86.50,2.6,1539.60
41-2011,86.50,2.6,1530.00
41-2012,0.00,0.1,9.70
41-2020,62.10,9.4,230.10
41-2021,46.60,10.6,158.50
41-2022,15.50,7.0,71.60
41-2031,434.70,9.8,1955.70
41-3000,186.00,10.8,633.40
41-3011,-1.00,-0.7,47.50
41-3021,45.90,10.4,150.20
41-3031,39.70,11.2,122.60
41-3041,-8.90,-12.1,11.10
41-3099,110.30,15.7,302.00
41-4000,169.30,9.1,532.40
41-4011,37.20,9.7,111.80
41-4012,132.00,8.9,420.70
41-9000,89.20,8.5,265.60
41-9010,13.30,16.1,36.70
41-9011,12.60,16.1,34.60
41-9012,0.70,15.3,2.10
41-9020,46.60,11.0,86.30
41-9021,8.60,10.8,16.10
41-9022,38.00,11.1,70.20
41-9031,5.90,8.9,17.40
41-9041,19.20,7.7,70.90
41-9090,4.20,1.8,54.30
41-9091,-14.20,-15.3,9.30
41-9099,18.40,13.5,45.00
43-0000,1534.00,6.8,6765.10
43-1000,171.50,12.1,508.00
43-1011,171.50,12.1,508.00
43-2000,-18.70,-12.9,27.90
43-2011,-17.30,-13.2,24.10
43-2021,-1.40,-13.1,2.90
43-2099,0.10,4.6,0.90
43-3000,391.40,11.0,1097.90
43-3011,58.20,14.7,170.00
43-3021,93.20,18.1,187.80
43-3031,204.60,11.4,370.00
43-3041,1.30,7.3,4.90
43-3051,22.50,12.5,61.90
43-3061,1.40,2.0,27.60
43-3071,5.60,1.0,259.80
43-3099,4.40,10.9,15.90
43-4000,498.70,9.2,1951.90
43-4011,2.40,3.8,18.40
43-4021,0.50,4.2,3.30
43-4031,13.80,10.6,33.80
43-4041,-1.70,-3.2,6.10
43-4051,298.70,12.6,941.60
43-4061,13.90,10.1,41.60
43-4071,-5.30,-3.3,37.50
43-4081,31.80,13.7,141.50
43-4111,21.30,10.4,59.90
43-4121,16.30,14.7,64.40
43-4131,17.10,8.7,30.10
43-4141,-2.70,-4.9,14.40
43-4151,-5.30,-2.5,56.00
43-4161,-1.60,-1.1,37.10
43-4171,135.90,13.5,406.90
43-4181,-19.50,-14.0,18.50
43-4199,-16.70,-8.8,40.80
43-5000,-98.80,-2.6,1130.40
43-5011,11.50,14.5,33.00
43-5021,-10.90,-11.1,12.60
43-5030,29.00,10.0,112.50
43-5031,7.60,7.7,36.00
43-5032,21.40,11.2,76.40
43-5041,-7.70,-19.2,10.10
43-5050,-139.10,-28.3,122.30
43-5051,-21.30,-31.8,10.20
43-5052,-79.20,-26.8,102.70
43-5053,-38.60,-29.8,9.40
43-5061,10.10,3.6,81.10
43-5071,6.80,1.0,189.60
43-5081,-6.00,-0.3,546.00
43-5111,7.30,10.2,23.30
43-6000,479.50,12.1,972.10
43-6011,-10.50,-1.2,105.20
43-6012,-7.00,-3.1,26.80
43-6013,189.20,36.0,252.50
43-6014,307.80,13.2,587.60
43-9000,110.30,2.7,1077.00
43-9011,-12.70,-17.0,7.20
43-9020,-80.40,-24.8,30.00
43-9021,-54.20,-24.6,26.30
43-9022,-26.20,-25.1,3.70
43-9031,-0.90,-5.5,3.00
43-9041,20.60,8.1,88.10
43-9051,-9.60,-8.8,24.90
43-9061,184.10,6.2,810.90
43-9071,-7.00,-10.2,16.40
43-9081,-0.20,-1.4,2.40
43-9111,1.60,9.2,6.30
43-9199,14.80,5.7,87.80
45-0000,-32.20,-3.4,271.00
45-1000,-1.10,-2.5,9.70
45-1011,-1.10,-2.5,9.70
45-2000,-26.20,-3.2,245.50
45-2011,-0.20,-1.0,5.00
45-2021,-0.30,-23.4,0.40
45-2041,-1.00,-2.0,8.70
45-2090,-24.70,-3.3,231.40
45-2091,2.30,3.9,20.20
45-2092,-29.20,-4.9,181.10
45-2093,1.70,2.2,25.30
45-2099,0.50,3.4,4.90
45-3000,-1.50,-4.9,6.40
45-3011,-1.60,-5.0,6.30
45-4000,-3.40,-6.2,9.60
45-4011,0.50,4.5,2.30
45-4020,-3.80,-8.7,7.30
45-4021,-2.90,-43.3,1.00
45-4022,0.60,2.0,5.20
45-4023,-1.10,-31.6,0.50
45-4029,-0.50,-12.1,0.60
47-0000,1301.90,21.4,2353.00
47-1000,128.30,23.5,187.10
47-1011,128.30,23.5,187.10
47-2000,1013.10,21.8,1810.40
47-2011,0.70,3.7,8.80
47-2020,29.30,34.5,38.40
47-2021,25.20,35.5,32.80
