Mesa,AZ,203531,209523,2.94
Scottsdale,AZ,203531,209523,2.94
Pine Bluff,AR,3300,3283,-0.52
Pittsburgh,PA,126970,131265,3.38
Pittsfield,MA,5631,5690,1.05
Pocatello,ID,2409,2456,1.95
Portland,ME,26859,27529,2.49
South Portland,ME,26859,27529,2.49
Portland,OR,157094,163692,4.20
Vancouver,WA,157094,163692,4.20
Hillsboro,WA,157094,163692,4.20
Port St. Lucie,FL,11360,11718,3.15
Prescott,AZ,4651,4792,3.03
Providence,RI,71207,73334,2.99
Warwick,MA,71207,73334,2.99
Provo,UT,17772,19102,7.48
Orem,UT,17772,19102,7.48
Pueblo,CO,4545,4629,1.85
Punta Gorda,FL,3285,3484,6.06
Racine,WI,7499,7541,0.56
Raleigh,NC,63121,66878,5.95
Rapid City,SD,5869,6055,3.17
Reading,PA,15753,16224,2.99
Redding,CA,5196,5310,2.19
Reno,NV,19656,20185,2.69
Richmond,VA,65773,68497,4.14
Riverside,CA,121108,126761,4.67
San Bernardino,CA,121108,126761,4.67
Ontario,CA,121108,126761,4.67
Roanoke,VA,13406,13891,3.62
Rochester,MN,10210,10664,4.45
Rochester,NY,50937,52470,3.01
Rockford,IL,13482,13833,2.60
Rocky Mount,NC,6457,6606,2.31
Rome,GA,3295,3390,2.88
Sacramento,CA,103544,108165,4.46
Roseville,CA,103544,108165,4.46
Arden-Arcade,CA,103544,108165,4.46
Saginaw,MI,7226,7554,4.54
St. Cloud,MN,8165,8596,5.28
St. George,UT,3910,4215,7.80
St. Joseph,MO,5170,5270,1.93
St. Louis,MO,144060,145958,1.32
Salem,OR,12784,13421,4.98
Salinas,CA,19282,20299,5.27
Salisbury,MD,13501,14055,4.10
Salt Lake City,UT,73463,76185,3.71
San Angelo,TX,4308,4536,5.29
San Antonio,TX,91947,96030,4.44
New Braunfels,TX,91947,96030,4.44
San Diego,CA,190940,197886,3.64
Carlsbad,CA,190940,197886,3.64
San Francisco,CA,378188,388272,2.67
Oakland,CA,378188,388272,2.67
Hayward,CA,378188,388272,2.67
San Jose,CA,186254,196829,5.68
Sunnyvale,CA,186254,196829,5.68
Santa Clara,CA,186254,196829,5.68
San Luis Obispo,CA,11772,12396,5.30
Paso Robles,CA,11772,12396,5.30
Arroyo Grande,CA,11772,12396,5.30
Santa Cruz,CA,10168,10901,7.21
Watsonville,CA,10168,10901,7.21
Santa Fe,NM,6765,7107,5.06
Santa Maria,CA,22738,23695,4.21
Santa Barbara,CA,22738,23695,4.21
Santa Rosa,CA,21372,21880,2.38
Savannah,GA,14295,14779,3.39
Scranton,PA,20810,21175,1.75
Wilkes-Barre,PA,20810,21175,1.75
Hazleton,PA,20810,21175,1.75
Seattle,WA,273632,284967,4.14
Tacoma,WA,273632,284967,4.14
Bellevue,WA,273632,284967,4.14
Sebastian,FL,4234,4277,1.02
Vero Beach,FL,4234,4277,1.02
Sebring,FL,1900,1953,2.79
Sheboygan,WI,5866,6134,4.57
Sherman,TX,3627,3862,6.48
Denison,TX,3627,3862,6.48
Shreveport,LA,24676,23565,-4.50
Bossier City,LA,24676,23565,-4.50
Sierra Vista,AZ,4181,4221,0.96
Douglas,AZ,4181,4221,0.96
Sioux City,IA,8183,8783,7.33
Sioux Falls,SD,16733,17541,4.83
South Bend,IN,13449,13361,-0.65
Mishawaka,MI,13449,13361,-0.65
Spartanburg,SC,12609,12917,2.44
Spokane,WA,20633,21353,3.49
Spokane Valley,WA,20633,21353,3.49
Springfield,IL,9341,9443,1.09
Springfield,MA,23767,24360,2.50
Springfield,MO,16448,16731,1.72
Springfield,OH,3939,4026,2.21
State College,PA,6991,7277,4.09
Staunton,VA,4588,4650,1.35
Waynesboro,VA,4588,4650,1.35
Stockton,CA,21492,22470,4.55
Lodi,CA,21492,22470,4.55
Sumter,SC,3488,3470,-0.52
Syracuse,NY,29727,30117,1.31
Tallahassee,FL,13439,13800,2.69
Tampa,FL,117695,122515,4.10
St. Petersburg,FL,117695,122515,4.10
Clearwater,FL,117695,122515,4.10
Terre Haute,IN,6549,6512,-0.56
Texarkana,TX,5175,5148,-0.52
The Villages,FL,1910,2122,11.10
Toledo,OH,30942,31168,0.73
Topeka,KS,9594,9660,0.69
Trenton,NJ,28338,29411,3.79
Tucson,AZ,34764,35412,1.86
Tulsa,OK,52282,55000,5.20
Tuscaloosa,AL,10347,10266,-0.78
Tyler,TX,10481,10876,3.77
Urban Honolulu,HI,55886,57966,3.72
Utica,NY,9943,10165,2.23
Rome,NY,9943,10165,2.23
Valdosta,GA,4501,4651,3.33
Vallejo,CA,15598,16281,4.38
Fairfield,CA,15598,16281,4.38
Victoria,TX,4902,5298,8.08
Vineland,NJ,5443,5530,1.60
Bridgeton,NJ,5443,5530,1.60
Virginia Beach,VA,86892,88572,1.93
Norfolk,VA,86892,88572,1.93
Newport News,NC,86892,88572,1.93
Visalia,CA,12894,14227,10.34
Porterville,CA,12894,14227,10.34
Waco,TX,9568,9875,3.21
Walla Walla,WA,2484,2623,5.60
Warner Robins,GA,6646,6711,0.98
Washington,DC,460012,463925,0.85
Arlington,VA,460012,463925,0.85
Alexandria,MD,460012,463925,0.85
Waterloo,IA,8244,8707,5.62
Cedar Falls,IA,8244,8707,5.62
Watertown,NY,6591,6563,-0.42
Fort Drum,NY,6591,6563,-0.42
Wausau,WI,6151,6497,5.63
Weirton,WV,3690,3666,-0.65
Steubenville,OH,3690,3666,-0.65
Wenatchee,WA,3895,4271,9.65
Wheeling,WV,6093,6677,9.58
Wichita,KS,30993,31532,1.74
Wichita Falls,TX,6608,7038,6.51
Williamsport,PA,4679,4952,5.83
Wilmington,NC,11776,12351,4.88
Winchester,VA,5459,5480,0.38
Winston,NC,26368,27056,2.61
Salem,NC,26368,27056,2.61
Worcester,MA,35507,37058,4.37
Yakima,WA,8252,9014,9.23
York,PA,16234,16667,2.67
Hanover,PA,16234,16667,2.67
Youngstown,OH,19230,18885,-1.79
Warren,OH,19230,18885,-1.79
Boardman,PA,19230,18885,-1.79
Yuba City,CA,5218,5475,4.93
Yuma,AZ,5518,5625,1.94
