job name;industry;unemp 2011;unemp 2012
Prepress technicians and workers;Production occupations;3.2;8.7
Pressers, textile, garment, and related materials;Production occupations;18.8;8.8
Printing machine operators;Production occupations;12.8;9.4
Private detectives and investigators;Protective service occupations;5.2;5.5
Procurement clerks;Office and administrative support occupations;0.4;7.4
Production workers, all other;Production occupations;12.8;10.5
Production, planning, and expediting clerks;Office and administrative support occupations;7.1;5.2
Proofreaders and copy markers;Office and administrative support occupations;14.9;9.4
Pumping station operators;Transportation and material moving occupations;1.1;3.5
Radio and telecommunications equipment installers and repairers;Installation, maintenance, and repair occupations;4.9;4
Railroad brake, signal, and switch operators;Transportation and material moving occupations;N/A;N/A
Railroad conductors and yardmasters;Transportation and material moving occupations;4.8;2.3
Rail-track laying and maintenance equipment operators;Construction and extraction occupations;12.6;6
Real estate brokers and sales agents;Sales and related occupations;5.2;4.9
Receptionists and information clerks;Office and administrative support occupations;9.2;8.7
Recreation and fitness workers;Personal care and service occupations;6.3;7.4
Refuse and recyclable material collectors;Transportation and material moving occupations;18.3;9.4
Reinforcing iron and rebar workers;Construction and extraction occupations;27.1;27
Reservation and transportation ticket agents and travel clerks;Office and administrative support occupations;8.1;5.4
Residential advisors;Personal care and service occupations;8.6;3.4
Retail salespersons;Sales and related occupations;10.5;9.5
Riggers;Installation, maintenance, and repair occupations;1.7;21.6
