OCC_CODE,sal2012
45-2040,19150
45-2041,19150
45-2090,18900
45-2091,25860
45-2092,18670
45-2093,22060
45-2099,25140
45-3000,34010
45-3010,33430
45-3011,33430
45-4000,32380
45-4010,24340
45-4011,24340
45-4020,33630
45-4021,35250
45-4022,33380
45-4023,32880
45-4029,34260
47-0000,40120
47-1000,59700
47-1010,59700
47-1011,59700
47-2000,38970
47-2010,56560
47-2011,56560
47-2020,44950
47-2021,46440
47-2022,37350
47-2030,39940
47-2031,39940
47-2040,36400
47-2041,36740
47-2042,35510
47-2043,33240
47-2044,37040
47-2050,35830
47-2051,35760
47-2053,39740
47-2060,29990
47-2061,29990
47-2070,40980
47-2071,35840
47-2072,48480
47-2073,41870
47-2080,37920
47-2081,37210
47-2082,45290
47-2110,49840
47-2111,49840
47-2120,37610
47-2121,37610
47-2130,35940
47-2131,32360
47-2132,39170
47-2140,35180
47-2141,35190
47-2142,34600
47-2150,47460
47-2151,36180
47-2152,49140
47-2160,37130
47-2161,37130
47-2170,45910
47-2171,45910
47-2180,35290
47-2181,35290
47-2210,43290
47-2211,43290
47-2220,46140
47-2221,46140
47-2230,37900
47-2231,37900
47-3000,26570
47-3010,26570
47-3011,28220
47-3012,25550
47-3013,27670
47-3014,24290
47-3015,26670
47-3016,23300
47-3019,25610
47-4000,39620
47-4010,53450
47-4011,53450
47-4020,76650
47-4021,76650
47-4030,30190
47-4031,30190
47-4040,37590
47-4041,37590
47-4050,35260
47-4051,35260
47-4060,45920
47-4061,45920
47-4070,34020
47-4071,34020
47-4090,34930
47-4091,33720
47-4099,34990
47-5000,40650
47-5010,44570
47-5011,46900
47-5012,49220
47-5013,41970
47-5020,40790
47-5021,40790
47-5030,48620
47-5031,48620
47-5040,50230
47-5041,51950
47-5042,47950
47-5049,46810
47-5050,32280
47-5051,32280
47-5060,54320
47-5061,54320
47-5070,34130
47-5071,34130
47-5080,31460
47-5081,31460
47-5090,38810
47-5099,38810
49-0000,41020
49-1000,60250
49-1010,60250
49-1011,60250
49-2000,46550
49-2010,36620
49-2011,36620
49-2020,53790
49-2021,43900
49-2022,54530
49-2090,46770
49-2091,55350
49-2092,36240
49-2093,51240
49-2094,52650
49-2095,68810
49-2096,31340
49-2097,35060
49-2098,41030
49-3000,38470
49-3010,55210
49-3011,55210
49-3020,36850
49-3021,38380
49-3022,32650
49-3023,36610
49-3030,42320
49-3031,42320
49-3040,43820
49-3041,34760
49-3042,46050
49-3043,48500
49-3050,32640
49-3051,35530
49-3052,33140
49-3053,30510
49-3090,24050
49-3091,24150
49-3092,34540
49-3093,23410
49-9000,38750
49-9010,45550
49-9011,36110
49-9012,50960
49-9020,43640
49-9021,43640
49-9030,35170
49-9031,35170
49-9040,45810
49-9041,46920
49-9043,40620
49-9044,49510
49-9045,41370
49-9050,58210
49-9051,63250
49-9052,51410
49-9060,43790
49-9061,37980
49-9062,44570
49-9063,30630
49-9064,37650
49-9069,52270
49-9070,35210
49-9071,35210
49-9080,45970
49-9081,45970
49-9090,31100
49-9091,31150
49-9092,46880
49-9093,27020
49-9094,37560
49-9095,28080
49-9096,42660
49-9097,55450
49-9098,24210
49-9099,36620
51-0000,30920
51-1000,54040
51-1010,54040
51-1011,54040
51-2000,28580
51-2010,45950
51-2011,45950
51-2020,29420
51-2021,30840
51-2022,28810
51-2023,31460
51-2030,36110
51-2031,36110
51-2040,35750
51-2041,35750
51-2090,27330
51-2091,28830
51-2092,27640
51-2093,25600
51-2099,25920
51-3000,24380
51-3010,23140
